episodes,mean_raw_ep_return,mean_yield,mean_leach_total,mean_N_total,mean_W_total
1680,0.19664826268840443,1443.5330016457824,10188.34599609375,45.38724000287475,186.0,181.2
1700,0.20660900677326027,1509.4099769480295,10721.526123046875,48.61904953226913,216.0,175.8
1720,0.20418549718451687,1484.5597159483236,10291.84150390625,44.38172014041338,186.0,165.9
1740,0.20283307751678875,1467.7888260835782,10408.474267578125,47.38120328914374,206.0,171.0
1760,0.20426340954127226,1471.1782217188272,10161.097216796876,42.308242374984545,186.0,163.5
1780,0.20328978954764806,1457.3030432524624,10216.306787109375,45.131663078023124,192.0,168.3
1800,0.2031743391945497,1449.8032174496796,10164.85322265625,44.413487369439096,188.0,173.1
1820,0.20586012213423147,1462.3157923848369,9919.60810546875,39.68116281209514,160.0,163.2
1840,0.19867494532611546,1404.7814909818583,9776.134619140625,42.34908876651898,180.0,158.7
1860,0.20708513699673858,1457.7657403178746,9962.913916015625,40.603407112206334,174.0,157.8
1880,0.21588973802036548,1512.9407613800781,10297.10859375,41.09618732359377,188.0,153.0
1900,0.21095102659130588,1471.7617812613025,9914.360546875,39.902062693051995,158.0,153.6
1920,0.2181650752360383,1515.4932261464885,10105.532568359375,37.742654819530436,166.0,150.9
1940,0.2154444439488657,1490.1040248298318,9873.237255859374,37.62868722153362,156.0,140.4
1960,0.21415541342887537,1474.84904936729,10085.718212890624,41.538921815995124,196.0,138.6
1980,0.21776313786642731,1493.2164231196512,10106.57431640625,39.97968900888227,186.0,142.2
2000,0.2271824636444535,1551.2188526540529,10463.455859375,40.9144655531738,192.0,144.9
